run_id,env_name,algorithm,total_steps,learning_rate,epoch,bath_size,buffer_size,gamma,lambda,mean_group_reward,group_cumulative_reward,episode_length,mean_policy_loss,mean_value_loss,mean_entropy,ELO,training_time,efficiency_score
LAPTOP-4A2E6G2C_SCT-27,SoccerTwos,poca,1480000,0.0003,3,2048,20480,0.99,0.95,-0.038870556854227606,0.04770307615399361,466.1728206840721,0.01646833285095467,0.01808865653668139,3.0968787041870325,1241.9167095863656,20326.9064142704,-0.00022947253888238732
LAPTOP-4A2E6G2C_SCT-28,SoccerTwos,poca,950000,0.0003,3,2048,20480,0.99,0.95,-0.02410208596379165,0.0,952.9241615653838,0.017080821576254332,0.000636368792025561,3.0432314680726735,1202.2170548872514,20324.13341164589,-0.00014230620598060608
LAPTOP-4A2E6G2C_SCT-29,SoccerTwos,poca,1490000,0.0003,3,2048,20480,0.99,0.95,-0.0625108793399753,0.04741666465997696,800.0971218851589,0.017205284341521885,0.0031145505442206436,3.174362001803097,1209.7826595306396,20324.036497831345,-0.00036908541871578785
LAPTOP-4A2E6G2C_SCT-30,SoccerTwos,poca,770000,0.0003,3,2048,20480,0.99,0.95,-0.054821296868688585,0.1436000019311905,884.974719555347,0.016157344249742373,0.0015397794630449164,3.204005222815972,1193.4493007972592,9646.979743719101,-0.0006819290388295629
LAPTOP-4A2E6G2C_SCT-31,SoccerTwos,poca,760000,0.0003,3,2048,20480,0.99,0.95,-0.03643133456353098,-0.045100003480911255,838.6874678762335,0.016713733385716165,0.0022215546863143185,3.221089316041846,1202.7406199621776,9625.807464122772,-0.0004541707450432709
LAPTOP-4A2E6G2C_SCT-32,SoccerTwos,poca,770000,0.0003,3,2048,20480,0.99,0.95,-0.06088397360418911,0.03985454514622688,853.4246199967025,0.016866760727550303,0.0021094244364316442,3.21989875954467,1199.984812266791,9614.763172388077,-0.0007598811017503241
LAPTOP-4A2E6G2C_SCT-33,SoccerTwos,poca,1590000,0.0003,3,2048,20480,0.99,0.95,-0.04188887321144202,0.3271910548210144,726.0532055740837,0.016911385845191574,0.006647793710059788,3.1420675823523565,1214.1071314657888,15146.507515192032,-0.00033186956005080835
LAPTOP-4A2E6G2C_SCT-34,SoccerTwos,poca,730000,0.0003,3,2048,20480,0.99,0.95,-0.0632665089398546,0.48115086555480957,583.2877704150056,0.01691351620042149,0.008947532817461145,3.175101247552323,1210.3516608344185,10138.085390090942,-0.0007488574795595057
LAPTOP-4A2E6G2C_SCT-35,SoccerTwos,poca,730000,0.0003,3,2048,20480,0.99,0.95,-0.0832965644204045,0.005119999870657921,908.7330548012093,0.01671572432250661,0.001475003170686678,3.21353933909168,1198.01120699369,10116.010335922241,-0.0009880958400125318
LAPTOP-4A2E6G2C_SCT-36,SoccerTwos,poca,720000,0.0003,3,2048,20480,0.99,0.95,-0.08580132291894661,-0.10000000149011612,864.1929321289062,0.016903074074755695,0.0020818884487893872,3.2271607281410533,1198.7476155598958,10101.705209255219,-0.0010192495758874665
