RunID,final_reward,max_reward,time_to_max_reward_sec,total_duration_sec,mean_policy_loss,mean_value_loss,mean_entropy,final_entropy,max_cpu_usage_percent,mean_cpu_usage_percent,max_ram_used_mb,mean_ram_used_mb,mean_cpu_frequency,max_cpu_frequency,max_gpu_usage_percent,mean_gpu_usage_percent,max_vram_used_mb,mean_vram_used_mb,max_game_cpu_usage_percent,mean_game_cpu_usage_percent,max_game_memory_usage_mb,mean_game_memory_usage_mb,os,cpu,physical_cores,system_ram_gb,gpu,GPU_ram_mb,cuda_version,training_type,game_name,batch_size,learning_rate,buffer_size,beta,epsilon,lambd,num_epoch,learning_rate_schedule,normalize,hidden_units,num_layers,vis_encode_type,reward_extrinsic_gamma,reward_extrinsic_strength,keep_checkpoints,max_steps,time_horizon,summary_freq
20251123-041152,94.15001678466795,100.00001525878906,520.7489013671875,990.5518188476562,0.0134584281283119,0.1629436950509746,1.385252413979496,1.3538283109664917,9.100000381469728,3.4668674655707488,10632.5,10502.90363210655,2267.333251953125,2267.333251953125,7.5,1.4216867484242084,1116.0,1116.0,1.1654568910598757,0.7128851514264761,0.0,0.0,Windows 11,"AMD64 Family 25 Model 33 Stepping 2, AuthenticAMD",8,34265653248,NVIDIA GeForce RTX 5080,16303.0,,ppo,3DBall,4096,7.1e-05,163840,0.005658,0.249,0.941,3.0,constant,True,512,2,simple,,,5,2000000,1024,12000
20251123-042835,3.4450759887695312,3.692000150680542,254.02999877929688,258.188232421875,0.0171859158823886,0.1911756284534931,1.4012578580437638,1.375831127166748,5.949999809265137,2.6081300770364155,10318.5,10276.207317073173,2267.333251953125,2267.333251953125,1.6666666269302368,1.0162601659937602,1117.0,1116.9878048780488,1.0716828107833862,0.6571192188960749,0.0,0.0,Windows 11,"AMD64 Family 25 Model 33 Stepping 2, AuthenticAMD",8,34265653248,NVIDIA GeForce RTX 5080,16303.0,,ppo,3DBall,2048,0.000217,81920,0.005766,0.136,0.95,5.0,constant,False,128,3,simple,,,5,500000,2048,12000
20251123-043320,100.00001525878906,100.00001525878906,285.7850646972656,488.5943908691406,0.0357362179396052,0.1892407664563506,1.326328009007925,1.2391301393508911,10.050000190734863,3.746184754084392,10291.5,10243.965867375751,2267.333251953125,2267.333251953125,5.5,1.4236947815102268,1117.0,1117.0,1.225318193435669,0.712709565119571,0.0,0.0,Windows 11,"AMD64 Family 25 Model 33 Stepping 2, AuthenticAMD",8,34265653248,NVIDIA GeForce RTX 5080,16303.0,,ppo,3DBall,512,6.8e-05,40960,0.007983,0.3,0.945,4.0,constant,False,64,3,simple,,,5,1000000,2048,12000
20251123-044139,79.19334411621094,79.19334411621094,128.80010986328125,128.80010986328125,0.025663611055775,0.4885749898173592,1.4070388317108151,1.3900816440582275,7.349999904632568,3.126666623353958,10231.0,10211.166650390624,2267.333251953125,2267.333251953125,2.0,1.0666666686534882,1117.0,1117.0,0.990603804588318,0.6586871311068535,0.0,0.0,Windows 11,"AMD64 Family 25 Model 33 Stepping 2, AuthenticAMD",8,34265653248,NVIDIA GeForce RTX 5080,16303.0,,ppo,3DBall,1024,0.000196,20480,0.004243,0.176,0.939,5.0,linear,True,64,3,simple,,,5,250000,128,12000
20251123-044403,1.2063461542129517,1.2169883251190186,23.684062957763672,66.88703918457031,0.0119427405297756,0.0365292318165302,1.4185093492269516,1.4160187244415283,4.866666793823242,2.633333340287209,10326.3330078125,10256.354248046877,2267.333251953125,2267.333251953125,1.6666666269302368,1.0833333283662796,1117.0,1117.0,0.8510234355926514,0.6630172729492188,0.0,0.0,Windows 11,"AMD64 Family 25 Model 33 Stepping 2, AuthenticAMD",8,34265653248,NVIDIA GeForce RTX 5080,16303.0,,ppo,3DBall,4096,0.000168,81920,0.007757,0.178,0.908,10.0,constant,False,128,2,simple,,,5,100000,2048,12000
20251123-044520,100.00000762939452,100.00000762939452,170.65921020507812,701.953369140625,0.0343887787700319,0.0579416367327212,1.2880197504916824,1.2279049158096311,8.100000381469727,3.275502013872905,10267.0,10228.048192771084,2267.333251953125,2267.333251953125,12.5,1.4056224901992154,1117.0,1117.0,1.122909665107727,0.6676531947520842,0.0,0.0,Windows 11,"AMD64 Family 25 Model 33 Stepping 2, AuthenticAMD",8,34265653248,NVIDIA GeForce RTX 5080,16303.0,,ppo,3DBall,512,0.000253,20480,0.008347,0.133,0.92,8.0,linear,False,256,3,simple,,,5,1000000,64,12000
20251123-045712,1.369958758354187,1.369958758354187,60.68267440795898,60.68267440795898,0.0246174838393926,0.2349614966660738,1.415799304842949,1.4136717319488523,4.0333333015441895,2.4104166477918625,10241.6669921875,10231.666748046877,2267.333251953125,2267.333251953125,1.0,0.9583333358168602,1118.0,1117.9375,1.0247355699539185,0.5996295288205147,0.0,0.0,Windows 11,"AMD64 Family 25 Model 33 Stepping 2, AuthenticAMD",8,34265653248,NVIDIA GeForce RTX 5080,16303.0,,ppo,3DBall,1024,0.000113,20480,0.005919,0.259,0.947,8.0,linear,False,256,1,simple,,,5,100000,512,12000
20251123-045823,2.079045057296753,2.079045057296753,565.0145263671875,565.0145263671875,0.0139379492029547,0.0498720823476711,1.402669401053923,1.3641263246536257,6.066666603088379,2.256425693810704,10915.6669921875,10586.186782285393,2267.333251953125,2267.333251953125,1.6666666269302368,1.0321285178862425,1118.0,1118.0,1.0434824228286743,0.6459713168891079,0.0,0.0,Windows 11,"AMD64 Family 25 Model 33 Stepping 2, AuthenticAMD",8,34265653248,NVIDIA GeForce RTX 5080,16303.0,,ppo,3DBall,4096,0.000214,327680,0.005119,0.286,0.924,5.0,constant,True,256,1,simple,,,5,1000000,256,12000
20251123-050758,92.47693634033205,100.00001525878906,149.119140625,382.4712219238281,0.0353449432348662,0.012085622798953,1.2257872645447894,1.108852505683899,7.699999809265137,2.619105676325356,10275.5,10249.0,2267.333251953125,2267.333251953125,2.0,1.1788617895870674,1118.0,1118.0,1.1453872919082642,0.7059841548524252,0.0,0.0,Windows 11,"AMD64 Family 25 Model 33 Stepping 2, AuthenticAMD",8,34265653248,NVIDIA GeForce RTX 5080,16303.0,,ppo,3DBall,512,0.000225,40960,0.003671,0.292,0.948,10.0,constant,True,256,3,simple,,,5,500000,128,12000
20251123-051451,1.149999976158142,1.2055768966674805,10.767141342163086,38.36587142944336,,,1.4189382791519165,1.4189382791519165,4.0,2.4979166835546494,10375.6669921875,10287.875122070312,2267.333251953125,2267.333251953125,5.5,1.5625,1118.0,1118.0,0.9687395691871644,0.6359088234603405,0.0,0.0,Windows 11,"AMD64 Family 25 Model 33 Stepping 2, AuthenticAMD",8,34265653248,NVIDIA GeForce RTX 5080,16303.0,,ppo,3DBall,4096,0.000288,163840,0.005608,0.184,0.931,3.0,constant,False,512,2,simple,,,5,100000,2048,12000
